"Bank","Code","Country","Tag","Currency"
"FIRST NATIONAL BANK (T) LTD","26500306","Tanzania","fnbtz","TZS"
"AMANA BANK","26695702","Tanzania","amanabank","TZS"
"EQUITY BANK (T) LTD","26702352","Tanzania","equitytz","TZS"
"COVENANT BANK LTD","26965348","Tanzania","convenantbank","TZS"
"UBL","27121304","Tanzania","ublbank","TZS"
"MAENDELEO BANK","27121334","Tanzania","maendeleo","TZS"
"Ecobank Tanzania","TZ674000","Tanzania","ecobanktz","TZS"
"CANARA BANK (TANZANIA) LTD","11288188","Tanzania","canarabank","TZS"
"MWALIMU COMMERCIAL BANK PLC","11298200","Tanzania","mwalimucommercial","TZS"
"UCHUMI COMMERCIAL BANK LTD","99055174","Tanzania","uchumibank","TZS"
"KILIMANJARO CO-OPERATIVE BANK LTD","97723634","Tanzania","kilimanjaro","TZS"
"AMANA BANK","26695702","Tanzania","amanabank","TZS"
"BANK OF AFRICA (T) LTD","99229218","Tanzania","bankafricatz","TZS"
"TANZANIA WOMENS BANK LTD","26262682","Tanzania","tanzaniawomen","TZS"
"TWIGA BANCORP LTD","25562250","Tanzania","twigabancorp","TZS"
"TIB CORPORATE BANK LIMITED","11274858","Tanzania","tibcorporatetz","TZS"
"TANZANIA AGRICULTURAL DEVELOPMENT BANK","11288192","Tanzania","tzagricbank","TZS"
"YETU MICROFINANCE BANK PLC","11335200","Tanzania","yetumfb","TZS"
"TZWALLET","20021376IK","Tanzania","tzwallet","TZS"
"BANK OF TANZANIA","20638200","Tanzania","bankoftz","TZS"
"TIB DEVELOPMENT BANK LTD","20638700","Tanzania","tibdevtz","TZS"
"TPB BANK COMPANY LTD","22017470","Tanzania","tpbbanktz","TZS"
"CROWN FINANCE AND LEASING LIMITED","25522602","Tanzania","crownfintz","TZS"
"KARADHA COMPANY LTD","25522604","Tanzania","karadha","TZS"
"NATIONAL BUREAU DE CHANGE LIMITED","25522606","Tanzania","nationalbdctz","TZS"
"ORBIT SECURITES CO LTD","26187724","Tanzania","orbitsectz","TZS"
"TANZANIA REVENUE AUTHORITY","26545582","Tanzania","tzrevenue","TZS"
"TANZANIA HOUSING BANK","26618356","Tanzania","tzhousing","TZS"
"LETSHEGO BANK (T) LIMITED","26852058","Tanzania","letshegotz","TZS"
"SABMILLER TANZANIA","26955990","Tanzania","sabmillertz","TZS"
"MWANGA COMMUNITY BANK LTD","26965406","Tanzania","mwangatz","TZS"
"TRUST BANK (TANZANIA) LIMITED","27162738","Tanzania","trustbanktz","TZS"
"CHINA COMMERCIAL BANK LIMITED","27307960","Tanzania","chinacommercialtz","TZS"
"MUCOBA BANK PLC","27357708","Tanzania","mucobatz","TZS"
"FIRST HOUSING FINANCE TANZANIA LIMITED","27541834","Tanzania","firsthousingfin","TZS"
"KCB BANK TANZANIA LTD","97723710","Tanzania","kcbtz","TZS"
"DCB COMMERCIAL BANK PLC","98116448","Tanzania","dcbtz","TZS"
"Airtel Malawi","AIRTELMW","Malawi","airtelmalawi","MWK"
"PALMPAY","100033","Nigeria","palmpay","NGN"
"Paga","327","Nigeria","paga","NGN"
"Airtel Tanzania","airtel","TZ","airtel","TZS"
"EUMOBILE","EUMOBILE","CM","EUMOBILE","XAF"
"LAREGIONALE","LAREGIONALE","CM","LAREGIONALE","XAF"
"MTN","MTN","CM","MTN","XAF"
"UBC","UBC","CM","UBC","XAF"
"CCA","CCA","CM","CCA","XAF"
"ORANGE MONEY","ORANGEMONEY","CM","ORANGEMONEY","XAF"
"ORANGE","ORANGE","CM","ORANGE","XAF"
"MOOV","MOOV","CM","MOOV","XAF"
